user_id,signup_date,plan_type,region,device_type,logins_per_month,session_durations,payments,churned,churn_date,avg_logins,avg_session,failed_payments,duration,event_observed
U1000,2024-01-14,free,IN,desktop,"[5, 4, 3, 3, 8, 8]","[53.5, 176.8, 112.1, 113.9, 56.6, 65.6]","[{'date': '2024-01-14', 'status': 'failed'}, {'date': '2024-02-13', 'status': 'success'}, {'date': '2024-03-14', 'status': 'success'}, {'date': '2024-04-13', 'status': 'success'}, {'date': '2024-05-13', 'status': 'success'}, {'date': '2024-06-12', 'status': 'success'}]",False,,5.166666666666667,96.41666666666667,1,169,0
U1001,2024-01-01,free,IN,TV,"[7, 6, 8, 9, 5, 7]","[163.8, 90.1, 59.5, 120.8, 150.2, 170.8]","[{'date': '2024-01-01', 'status': 'success'}, {'date': '2024-01-31', 'status': 'failed'}, {'date': '2024-03-01', 'status': 'success'}, {'date': '2024-03-31', 'status': 'failed'}, {'date': '2024-04-30', 'status': 'failed'}, {'date': '2024-05-30', 'status': 'success'}]",False,,7.0,125.86666666666667,3,182,0
U1002,2024-01-17,basic,UK,desktop,"[6, 1, 0, 1, 0, 5]","[88.3, 177.1, 0, 45.0, 0, 104.1]","[{'date': '2024-01-17', 'status': 'success'}, {'date': '2024-02-16', 'status': 'success'}, {'date': '2024-03-17', 'status': 'success'}, {'date': '2024-04-16', 'status': 'success'}, {'date': '2024-05-16', 'status': 'success'}, {'date': '2024-06-15', 'status': 'success'}]",False,,2.1666666666666665,69.08333333333333,0,166,0
U1003,2024-01-19,free,IN,TV,"[8, 7, 0, 9, 0, 5]","[195.2, 156.9, 0, 62.8, 0, 109.1]","[{'date': '2024-01-19', 'status': 'failed'}, {'date': '2024-02-18', 'status': 'success'}, {'date': '2024-03-19', 'status': 'success'}, {'date': '2024-04-18', 'status': 'success'}]",True,2024-04-18,4.833333333333333,87.33333333333333,1,90,1
U1004,2024-01-21,premium,IN,TV,"[5, 6, 7, 5, 0, 10]","[46.6, 151.4, 169.9, 60.8, 0, 76.9]","[{'date': '2024-01-21', 'status': 'success'}, {'date': '2024-02-20', 'status': 'success'}, {'date': '2024-03-21', 'status': 'success'}, {'date': '2024-04-20', 'status': 'success'}, {'date': '2024-05-20', 'status': 'success'}, {'date': '2024-06-19', 'status': 'success'}]",False,,5.5,84.26666666666667,0,162,0
U1005,2024-01-25,free,US,TV,"[2, 2, 5, 3, 10, 0]","[138.5, 93.7, 158.3, 31.7, 188.1, 0]","[{'date': '2024-01-25', 'status': 'success'}, {'date': '2024-02-24', 'status': 'success'}, {'date': '2024-03-25', 'status': 'success'}, {'date': '2024-04-24', 'status': 'success'}, {'date': '2024-05-24', 'status': 'success'}, {'date': '2024-06-23', 'status': 'success'}]",False,,3.6666666666666665,101.71666666666665,0,158,0
U1006,2024-01-25,free,UK,desktop,"[10, 1, 4, 0, 5, 0]","[98.5, 174.5, 104.8, 0, 181.2, 0]","[{'date': '2024-01-25', 'status': 'success'}, {'date': '2024-02-24', 'status': 'success'}, {'date': '2024-03-25', 'status': 'success'}, {'date': '2024-04-24', 'status': 'success'}, {'date': '2024-05-24', 'status': 'success'}, {'date': '2024-06-23', 'status': 'success'}]",False,,3.3333333333333335,93.16666666666667,0,158,0
U1007,2024-01-12,premium,IN,TV,"[8, 10, 2, 8, 3, 5]","[67.2, 55.5, 65.3, 63.0, 47.8, 138.8]","[{'date': '2024-01-12', 'status': 'success'}, {'date': '2024-02-11', 'status': 'success'}, {'date': '2024-03-12', 'status': 'success'}, {'date': '2024-04-11', 'status': 'success'}, {'date': '2024-05-11', 'status': 'success'}]",True,2024-05-11,6.0,72.93333333333334,0,120,1
U1008,2024-01-19,premium,UK,desktop,"[8, 2, 6, 3, 5, 4]","[159.5, 35.4, 181.7, 135.8, 121.1, 190.9]","[{'date': '2024-01-19', 'status': 'success'}, {'date': '2024-02-18', 'status': 'success'}, {'date': '2024-03-19', 'status': 'success'}, {'date': '2024-04-18', 'status': 'success'}, {'date': '2024-05-18', 'status': 'success'}, {'date': '2024-06-17', 'status': 'success'}]",False,,4.666666666666667,137.4,0,164,0
U1009,2024-01-31,free,UK,mobile,"[3, 1, 8, 3, 3, 9]","[88.8, 144.3, 176.1, 155.4, 161.9, 114.2]","[{'date': '2024-01-31', 'status': 'success'}, {'date': '2024-03-01', 'status': 'success'}, {'date': '2024-03-31', 'status': 'success'}, {'date': '2024-04-30', 'status': 'success'}, {'date': '2024-05-30', 'status': 'success'}, {'date': '2024-06-29', 'status': 'success'}]",False,,4.5,140.11666666666667,0,152,0
U1010,2024-01-28,basic,US,mobile,"[7, 0, 10, 10, 1, 0]","[85.4, 0, 146.6, 106.0, 164.1, 0]","[{'date': '2024-01-28', 'status': 'success'}, {'date': '2024-02-27', 'status': 'success'}, {'date': '2024-03-28', 'status': 'success'}, {'date': '2024-04-27', 'status': 'success'}, {'date': '2024-05-27', 'status': 'success'}, {'date': '2024-06-26', 'status': 'failed'}]",True,2024-06-26,4.666666666666667,83.68333333333334,1,150,1
U1011,2024-01-07,basic,US,desktop,"[5, 10, 0, 10, 0, 1]","[103.7, 107.7, 0, 181.9, 0, 133.9]","[{'date': '2024-01-07', 'status': 'success'}, {'date': '2024-02-06', 'status': 'success'}, {'date': '2024-03-07', 'status': 'success'}, {'date': '2024-04-06', 'status': 'failed'}, {'date': '2024-05-06', 'status': 'success'}, {'date': '2024-06-05', 'status': 'success'}]",False,,4.333333333333333,87.86666666666667,1,176,0
